"Label (Grouping)","ZCTA5 40210!!Total!!Estimate","ZCTA5 40210!!Total!!Margin of Error","ZCTA5 40210!!Percent!!Estimate","ZCTA5 40210!!Percent!!Margin of Error","ZCTA5 40210!!Male!!Estimate","ZCTA5 40210!!Male!!Margin of Error","ZCTA5 40210!!Percent Male!!Estimate","ZCTA5 40210!!Percent Male!!Margin of Error","ZCTA5 40210!!Female!!Estimate","ZCTA5 40210!!Female!!Margin of Error","ZCTA5 40210!!Percent Female!!Estimate","ZCTA5 40210!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","1,278","±317","(X)","(X)","627","±198","(X)","(X)","651","±213","(X)","(X)"
"        Less than high school graduate","159","±85","12.4%","±6.4","88","±63","14.0%","±9.3","71","±55","10.9%","±8.3"
"        High school graduate (includes equivalency)","837","±278","65.5%","±11.6","424","±173","67.6%","±15.9","413","±192","63.4%","±15.9"
"        Some college or associate's degree","206","±112","16.1%","±8.4","104","±82","16.6%","±12.3","102","±67","15.7%","±10.3"
"        Bachelor's degree or higher","76","±55","5.9%","±4.1","11","±17","1.8%","±2.6","65","±55","10.0%","±8.1"
"    Population 25 years and over","8,839","±852","(X)","(X)","3,448","±490","(X)","(X)","5,391","±579","(X)","(X)"
"        Less than 9th grade","574","±192","6.5%","±2.2","291","±129","8.4%","±3.6","283","±115","5.2%","±2.2"
"        9th to 12th grade, no diploma","1,116","±285","12.6%","±2.9","362","±116","10.5%","±3.5","754","±265","14.0%","±4.3"
"        High school graduate (includes equivalency)","2,745","±432","31.1%","±4.8","1,246","±264","36.1%","±6.2","1,499","±301","27.8%","±5.6"
"        Some college, no degree","2,687","±574","30.4%","±4.9","1,003","±316","29.1%","±7.1","1,684","±391","31.2%","±5.6"
"        Associate's degree","829","±285","9.4%","±3.0","255","±142","7.4%","±3.9","574","±226","10.6%","±4.1"
"        Bachelor's degree","498","±194","5.6%","±2.1","207","±124","6.0%","±3.6","291","±146","5.4%","±2.6"
"        Graduate or professional degree","390","±137","4.4%","±1.5","84","±52","2.4%","±1.5","306","±123","5.7%","±2.3"
"        High school graduate or higher","7,149","±788","80.9%","±3.6","2,795","±469","81.1%","±4.6","4,354","±510","80.8%","±4.7"
"        Bachelor's degree or higher","888","±263","10.0%","±2.8","291","±134","8.4%","±3.9","597","±221","11.1%","±4.0"
"    Population 25 to 34 years","1,855","±552","(X)","(X)","749","±315","(X)","(X)","1,106","±350","(X)","(X)"
"        High school graduate or higher","1,675","±548","90.3%","±4.8","673","±309","89.9%","±10.1","1,002","±350","90.6%","±3.8"
"        Bachelor's degree or higher","115","±87","6.2%","±4.9","38","±32","5.1%","±4.7","77","±80","7.0%","±7.3"
