"Label (Grouping)","ZCTA5 40258!!Total!!Estimate","ZCTA5 40258!!Total!!Margin of Error","ZCTA5 40258!!Percent!!Estimate","ZCTA5 40258!!Percent!!Margin of Error","ZCTA5 40258!!Male!!Estimate","ZCTA5 40258!!Male!!Margin of Error","ZCTA5 40258!!Percent Male!!Estimate","ZCTA5 40258!!Percent Male!!Margin of Error","ZCTA5 40258!!Female!!Estimate","ZCTA5 40258!!Female!!Margin of Error","ZCTA5 40258!!Percent Female!!Estimate","ZCTA5 40258!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","2,387","±491","(X)","(X)","1,621","±407","(X)","(X)","766","±279","(X)","(X)"
"        Less than high school graduate","387","±239","16.2%","±9.3","355","±232","21.9%","±12.8","32","±31","4.2%","±3.4"
"        High school graduate (includes equivalency)","1,016","±349","42.6%","±11.2","566","±247","34.9%","±13.8","450","±237","58.7%","±16.5"
"        Some college or associate's degree","820","±340","34.4%","±12.8","666","±329","41.1%","±17.1","154","±100","20.1%","±13.3"
"        Bachelor's degree or higher","164","±89","6.9%","±3.9","34","±35","2.1%","±2.2","130","±74","17.0%","±10.0"
"    Population 25 years and over","18,349","±1,365","(X)","(X)","8,706","±697","(X)","(X)","9,643","±951","(X)","(X)"
"        Less than 9th grade","482","±181","2.6%","±1.0","313","±144","3.6%","±1.6","169","±87","1.8%","±0.9"
"        9th to 12th grade, no diploma","1,778","±509","9.7%","±2.4","772","±236","8.9%","±2.7","1,006","±475","10.4%","±4.3"
"        High school graduate (includes equivalency)","6,927","±725","37.8%","±3.1","3,509","±476","40.3%","±4.2","3,418","±462","35.4%","±3.8"
"        Some college, no degree","4,181","±555","22.8%","±2.4","1,816","±367","20.9%","±3.9","2,365","±429","24.5%","±3.6"
"        Associate's degree","2,260","±410","12.3%","±2.1","1,385","±378","15.9%","±4.0","875","±242","9.1%","±2.6"
"        Bachelor's degree","1,923","±405","10.5%","±2.1","705","±212","8.1%","±2.3","1,218","±343","12.6%","±3.5"
"        Graduate or professional degree","798","±224","4.3%","±1.3","206","±110","2.4%","±1.2","592","±183","6.1%","±2.0"
"        High school graduate or higher","16,089","±1,142","87.7%","±2.4","7,621","±696","87.5%","±2.9","8,468","±744","87.8%","±4.3"
"        Bachelor's degree or higher","2,721","±429","14.8%","±2.2","911","±235","10.5%","±2.6","1,810","±360","18.8%","±3.7"
"    Population 25 to 34 years","2,897","±515","(X)","(X)","1,317","±264","(X)","(X)","1,580","±397","(X)","(X)"
"        High school graduate or higher","2,581","±523","89.1%","±5.0","1,134","±274","86.1%","±9.0","1,447","±400","91.6%","±5.6"
"        Bachelor's degree or higher","589","±182","20.3%","±6.1","172","±98","13.1%","±7.0","417","±147","26.4%","±9.8"
"    Population 35 to 44 years","3,567","±663","(X)","(X)","1,824","±385","(X)","(X)","1,743","±406","(X)","(X)"
"        High school graduate or higher","2,958","±520","82.9%","±7.1","1,545","±377","84.7%","±7.8","1,413","±323","81.1%","±13.7"
"        Bachelor's degree or higher","672","±285","18.8%","±7.3","175","±92","9.6%","±5.3","497","±260","28.5%","±12.5"
"    Population 45 to 64 years","7,617","±861","(X)","(X)","3,761","±465","(X)","(X)","3,856","±564","(X)","(X)"
"        High school graduate or higher","6,868","±743","90.2%","±4.1","3,463","±470","92.1%","±4.1","3,405","±448","88.3%","±8.0"
"        Bachelor's degree or higher","1,049","±263","13.8%","±3.4","399","±171","10.6%","±4.5","650","±204","16.9%","±5.5"
"    Population 65 years and over","4,268","±531","(X)","(X)","1,804","±325","(X)","(X)","2,464","±352","(X)","(X)"
"        High school graduate or higher","3,682","±529","86.3%","±4.1","1,479","±319","82.0%","±5.9","2,203","±359","89.4%","±5.2"
"        Bachelor's degree or higher","411","±168","9.6%","±3.7","165","±91","9.1%","±4.6","246","±127","10.0%","±4.6"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","13,555","±1,215","(X)","(X)","6,517","±583","(X)","(X)","7,038","±865","(X)","(X)"
"        High school graduate or higher","11,867","±989","87.5%","±2.9","5,739","±569","88.1%","±2.8","6,128","±666","87.1%","±5.4"
"        Bachelor's degree or higher","1,865","±322","13.8%","±2.4","753","±211","11.6%","±3.2","1,112","±228","15.8%","±3.4"
"    White alone, not Hispanic or Latino","13,428","±1,211","(X)","(X)","6,421","±591","(X)","(X)","7,007","±861","(X)","(X)"
"        High school graduate or higher","11,742","±982","87.4%","±2.9","5,645","±573","87.9%","±2.8","6,097","±660","87.0%","±5.4"
"        Bachelor's degree or higher","1,807","±316","13.5%","±2.4","710","±205","11.1%","±3.1","1,097","±227","15.7%","±3.5"
"    Black alone","3,311","±461","(X)","(X)","1,380","±310","(X)","(X)","1,931","±314","(X)","(X)"
"        High school graduate or higher","3,058","±453","92.4%","±4.5","1,184","±318","85.8%","±10.4","1,874","±313","97.0%","±2.9"
"        Bachelor's degree or higher","752","±289","22.7%","±7.9","132","±105","9.6%","±7.3","620","±260","32.1%","±12.3"
"    American Indian or Alaska Native alone","0","±24","(X)","(X)","0","±24","(X)","(X)","0","±24","(X)","(X)"
"        High school graduate or higher","0","±24","-","**","0","±24","-","**","0","±24","-","**"
"        Bachelor's degree or higher","0","±24","-","**","0","±24","-","**","0","±24","-","**"
"    Asian alone","66","±51","(X)","(X)","45","±41","(X)","(X)","21","±21","(X)","(X)"
"        High school graduate or higher","56","±47","84.8%","±21.0","42","±40","93.3%","±10.2","14","±17","66.7%","±47.2"
"        Bachelor's degree or higher","14","±22","21.2%","±32.6","8","±13","17.8%","±31.7","6","±10","28.6%","±43.7"
"    Native Hawaiian and Other Pacific Islander alone","0","±24","(X)","(X)","0","±24","(X)","(X)","0","±24","(X)","(X)"
"        High school graduate or higher","0","±24","-","**","0","±24","-","**","0","±24","-","**"
"        Bachelor's degree or higher","0","±24","-","**","0","±24","-","**","0","±24","-","**"
"    Some other race alone","242","±174","(X)","(X)","59","±44","(X)","(X)","183","±165","(X)","(X)"
"        High school graduate or higher","228","±173","94.2%","±10.1","46","±37","78.0%","±30.4","182","±166","99.5%","±1.4"
