"Label (Grouping)","ZCTA5 40041!!Total!!Estimate","ZCTA5 40041!!Total!!Margin of Error","ZCTA5 40041!!Percent!!Estimate","ZCTA5 40041!!Percent!!Margin of Error","ZCTA5 40041!!Male!!Estimate","ZCTA5 40041!!Male!!Margin of Error","ZCTA5 40041!!Percent Male!!Estimate","ZCTA5 40041!!Percent Male!!Margin of Error","ZCTA5 40041!!Female!!Estimate","ZCTA5 40041!!Female!!Margin of Error","ZCTA5 40041!!Percent Female!!Estimate","ZCTA5 40041!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"        Less than high school graduate","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"        High school graduate (includes equivalency)","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"        Some college or associate's degree","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"        Bachelor's degree or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"    Population 25 years and over","518","±217","(X)","(X)","153","±92","(X)","(X)","365","±150","(X)","(X)"
"        Less than 9th grade","0","±13","0.0%","±7.0","0","±13","0.0%","±21.5","0","±13","0.0%","±9.8"
"        9th to 12th grade, no diploma","10","±10","1.9%","±2.2","0","±13","0.0%","±21.5","10","±10","2.7%","±3.0"
"        High school graduate (includes equivalency)","98","±60","18.9%","±12.4","17","±35","11.1%","±22.7","81","±51","22.2%","±13.4"
"        Some college, no degree","158","±140","30.5%","±16.2","25","±27","16.3%","±22.7","133","±136","36.4%","±25.6"
"        Associate's degree","34","±23","6.6%","±5.8","0","±13","0.0%","±21.5","34","±23","9.3%","±7.9"
"        Bachelor's degree","80","±45","15.4%","±11.6","17","±24","11.1%","±18.6","63","±48","17.3%","±14.2"
"        Graduate or professional degree","138","±89","26.6%","±9.0","94","±85","61.4%","±28.4","44","±31","12.1%","±9.8"
"        High school graduate or higher","508","±217","98.1%","±2.2","153","±92","100.0%","±21.5","355","±148","97.3%","±3.0"
