"Label (Grouping)","ZCTA5 40214!!Total!!Estimate","ZCTA5 40214!!Total!!Margin of Error","ZCTA5 40214!!Percent!!Estimate","ZCTA5 40214!!Percent!!Margin of Error","ZCTA5 40214!!Male!!Estimate","ZCTA5 40214!!Male!!Margin of Error","ZCTA5 40214!!Percent Male!!Estimate","ZCTA5 40214!!Percent Male!!Margin of Error","ZCTA5 40214!!Female!!Estimate","ZCTA5 40214!!Female!!Margin of Error","ZCTA5 40214!!Percent Female!!Estimate","ZCTA5 40214!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","4,225","±671","(X)","(X)","2,303","±566","(X)","(X)","1,922","±319","(X)","(X)"
"        Less than high school graduate","749","±284","17.7%","±5.1","491","±233","21.3%","±7.1","258","±159","13.4%","±8.1"
"        High school graduate (includes equivalency)","1,776","±391","42.0%","±6.0","1,139","±362","49.5%","±9.2","637","±194","33.1%","±8.3"
"        Some college or associate's degree","1,264","±270","29.9%","±6.1","477","±165","20.7%","±7.7","787","±258","40.9%","±11.4"
"        Bachelor's degree or higher","436","±153","10.3%","±3.4","196","±102","8.5%","±4.2","240","±117","12.5%","±5.7"
"    Population 25 years and over","30,393","±1,439","(X)","(X)","15,069","±1,063","(X)","(X)","15,324","±741","(X)","(X)"
"        Less than 9th grade","2,030","±308","6.7%","±1.0","938","±226","6.2%","±1.5","1,092","±228","7.1%","±1.5"
"        9th to 12th grade, no diploma","2,481","±396","8.2%","±1.4","1,379","±351","9.2%","±2.3","1,102","±204","7.2%","±1.4"
"        High school graduate (includes equivalency)","9,391","±1,089","30.9%","±2.7","5,185","±889","34.4%","±4.5","4,206","±482","27.4%","±2.8"
"        Some college, no degree","7,056","±647","23.2%","±2.0","3,593","±509","23.8%","±3.0","3,463","±474","22.6%","±2.9"
"        Associate's degree","2,573","±442","8.5%","±1.4","1,189","±352","7.9%","±2.3","1,384","±254","9.0%","±1.6"
"        Bachelor's degree","4,397","±544","14.5%","±1.8","1,846","±292","12.3%","±2.1","2,551","±456","16.6%","±2.8"
"        Graduate or professional degree","2,465","±392","8.1%","±1.2","939","±224","6.2%","±1.5","1,526","±317","10.0%","±1.9"
"        High school graduate or higher","25,882","±1,501","85.2%","±1.8","12,752","±1,064","84.6%","±2.8","13,130","±773","85.7%","±2.1"
"        Bachelor's degree or higher","6,862","±728","22.6%","±2.2","2,785","±353","18.5%","±2.5","4,077","±562","26.6%","±3.2"
"    Population 25 to 34 years","7,019","±795","(X)","(X)","3,590","±637","(X)","(X)","3,429","±449","(X)","(X)"
"        High school graduate or higher","5,950","±740","84.8%","±4.2","3,111","±568","86.7%","±6.1","2,839","±434","82.8%","±4.9"
"        Bachelor's degree or higher","1,635","±366","23.3%","±4.9","669","±201","18.6%","±5.9","966","±281","28.2%","±7.0"
"    Population 35 to 44 years","5,464","±804","(X)","(X)","3,018","±553","(X)","(X)","2,446","±401","(X)","(X)"
"        High school graduate or higher","4,448","±782","81.4%","±5.6","2,489","±524","82.5%","±7.0","1,959","±371","80.1%","±6.4"
"        Bachelor's degree or higher","1,619","±382","29.6%","±5.9","641","±212","21.2%","±6.9","978","±291","40.0%","±10.1"
"    Population 45 to 64 years","11,910","±996","(X)","(X)","5,876","±675","(X)","(X)","6,034","±568","(X)","(X)"
