"Label (Grouping)","ZCTA5 40067!!Total!!Estimate","ZCTA5 40067!!Total!!Margin of Error","ZCTA5 40067!!Percent!!Estimate","ZCTA5 40067!!Percent!!Margin of Error","ZCTA5 40067!!Male!!Estimate","ZCTA5 40067!!Male!!Margin of Error","ZCTA5 40067!!Percent Male!!Estimate","ZCTA5 40067!!Percent Male!!Margin of Error","ZCTA5 40067!!Female!!Estimate","ZCTA5 40067!!Female!!Margin of Error","ZCTA5 40067!!Percent Female!!Estimate","ZCTA5 40067!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","539","±146","(X)","(X)","331","±109","(X)","(X)","208","±89","(X)","(X)"
"        Less than high school graduate","81","±54","15.0%","±11.0","61","±45","18.4%","±17.3","20","±29","9.6%","±13.2"
"        High school graduate (includes equivalency)","239","±98","44.3%","±13.0","166","±92","50.2%","±16.6","73","±54","35.1%","±21.0"
"        Some college or associate's degree","193","±98","35.8%","±13.3","97","±61","29.3%","±14.4","96","±64","46.2%","±22.4"
"        Bachelor's degree or higher","26","±25","4.8%","±4.5","7","±8","2.1%","±2.6","19","±23","9.1%","±11.3"
"    Population 25 years and over","4,467","±465","(X)","(X)","2,230","±262","(X)","(X)","2,237","±286","(X)","(X)"
"        Less than 9th grade","123","±89","2.8%","±2.1","83","±79","3.7%","±3.5","40","±30","1.8%","±1.4"
"        9th to 12th grade, no diploma","126","±74","2.8%","±1.7","88","±50","3.9%","±2.3","38","±34","1.7%","±1.5"
"        High school graduate (includes equivalency)","1,167","±311","26.1%","±6.0","525","±154","23.5%","±6.3","642","±221","28.7%","±8.2"
"        Some college, no degree","954","±237","21.4%","±4.4","650","±223","29.1%","±8.3","304","±80","13.6%","±4.0"
"        Associate's degree","378","±118","8.5%","±2.6","152","±71","6.8%","±3.2","226","±74","10.1%","±3.2"
"        Bachelor's degree","1,082","±212","24.2%","±3.9","397","±93","17.8%","±4.6","685","±217","30.6%","±7.9"
"        Graduate or professional degree","637","±167","14.3%","±3.7","335","±122","15.0%","±5.1","302","±98","13.5%","±4.6"
"        High school graduate or higher","4,218","±489","94.4%","±2.7","2,059","±264","92.3%","±4.1","2,159","±296","96.5%","±2.0"
"        Bachelor's degree or higher","1,719","±280","38.5%","±5.2","732","±148","32.8%","±6.5","987","±233","44.1%","±8.4"
"    Population 25 to 34 years","855","±178","(X)","(X)","494","±131","(X)","(X)","361","±112","(X)","(X)"
"        High school graduate or higher","845","±176","98.8%","±2.2","484","±129","98.0%","±3.8","361","±112","100.0%","±9.9"
"        Bachelor's degree or higher","329","±120","38.5%","±11.9","142","±75","28.7%","±12.5","187","±73","51.8%","±20.2"
"    Population 35 to 44 years","785","±355","(X)","(X)","387","±189","(X)","(X)","398","±196","(X)","(X)"
"        High school graduate or higher","746","±357","95.0%","±6.0","348","±187","89.9%","±11.7","398","±196","100.0%","±9.0"
"        Bachelor's degree or higher","346","±191","44.1%","±9.8","96","±45","24.8%","±16.7","250","±185","62.8%","±20.7"
"    Population 45 to 64 years","1,724","±296","(X)","(X)","815","±171","(X)","(X)","909","±167","(X)","(X)"
"        High school graduate or higher","1,570","±311","91.1%","±5.4","729","±174","89.4%","±7.6","841","±175","92.5%","±4.7"
