"Label (Grouping)","ZCTA5 40222!!Total!!Estimate","ZCTA5 40222!!Total!!Margin of Error","ZCTA5 40222!!Percent!!Estimate","ZCTA5 40222!!Percent!!Margin of Error","ZCTA5 40222!!Male!!Estimate","ZCTA5 40222!!Male!!Margin of Error","ZCTA5 40222!!Percent Male!!Estimate","ZCTA5 40222!!Percent Male!!Margin of Error","ZCTA5 40222!!Female!!Estimate","ZCTA5 40222!!Female!!Margin of Error","ZCTA5 40222!!Percent Female!!Estimate","ZCTA5 40222!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","1,345","±314","(X)","(X)","843","±231","(X)","(X)","502","±178","(X)","(X)"
"        Less than high school graduate","103","±51","7.7%","±4.0","91","±49","10.8%","±6.1","12","±16","2.4%","±3.4"
"        High school graduate (includes equivalency)","245","±102","18.2%","±8.4","139","±61","16.5%","±8.6","106","±78","21.1%","±13.4"
"        Some college or associate's degree","564","±262","41.9%","±13.2","374","±194","44.4%","±14.9","190","±124","37.8%","±17.3"
"        Bachelor's degree or higher","433","±189","32.2%","±13.1","239","±130","28.4%","±14.6","194","±97","38.6%","±17.3"
"    Population 25 years and over","16,193","±780","(X)","(X)","7,477","±474","(X)","(X)","8,716","±535","(X)","(X)"
"        Less than 9th grade","202","±99","1.2%","±0.6","45","±45","0.6%","±0.6","157","±97","1.8%","±1.1"
"        9th to 12th grade, no diploma","424","±143","2.6%","±0.9","250","±117","3.3%","±1.6","174","±89","2.0%","±1.0"
"        High school graduate (includes equivalency)","2,750","±459","17.0%","±2.7","1,206","±294","16.1%","±3.7","1,544","±311","17.7%","±3.4"
"        Some college, no degree","2,489","±391","15.4%","±2.2","1,269","±272","17.0%","±3.4","1,220","±299","14.0%","±3.1"
"        Associate's degree","1,064","±222","6.6%","±1.4","374","±117","5.0%","±1.5","690","±170","7.9%","±2.0"
"        Bachelor's degree","5,362","±546","33.1%","±2.6","2,600","±348","34.8%","±4.1","2,762","±312","31.7%","±2.7"
"        Graduate or professional degree","3,902","±366","24.1%","±2.3","1,733","±270","23.2%","±3.6","2,169","±279","24.9%","±3.1"
"        High school graduate or higher","15,567","±807","96.1%","±1.1","7,182","±471","96.1%","±1.4","8,385","±550","96.2%","±1.5"
"        Bachelor's degree or higher","9,264","±633","57.2%","±2.7","4,333","±373","58.0%","±4.1","4,931","±431","56.6%","±3.7"
"    Population 25 to 34 years","3,821","±460","(X)","(X)","1,813","±255","(X)","(X)","2,008","±298","(X)","(X)"
"        High school graduate or higher","3,806","±457","99.6%","±0.5","1,801","±254","99.3%","±1.0","2,005","±298","99.9%","±0.3"
"        Bachelor's degree or higher","2,647","±390","69.3%","±6.8","1,176","±236","64.9%","±9.0","1,471","±255","73.3%","±10.7"
"    Population 35 to 44 years","2,763","±334","(X)","(X)","1,422","±206","(X)","(X)","1,341","±221","(X)","(X)"
"        High school graduate or higher","2,549","±316","92.3%","±4.0","1,318","±208","92.7%","±5.2","1,231","±222","91.8%","±5.6"
"        Bachelor's degree or higher","1,631","±318","59.0%","±8.4","812","±174","57.1%","±9.6","819","±182","61.1%","±10.4"
"    Population 45 to 64 years","4,941","±555","(X)","(X)","2,245","±299","(X)","(X)","2,696","±344","(X)","(X)"
"        High school graduate or higher","4,740","±570","95.9%","±2.4","2,153","±303","95.9%","±2.7","2,587","±359","96.0%","±3.4"
"        Bachelor's degree or higher","2,989","±495","60.5%","±5.8","1,358","±268","60.5%","±7.7","1,631","±293","60.5%","±6.4"
"    Population 65 years and over","4,668","±394","(X)","(X)","1,997","±279","(X)","(X)","2,671","±246","(X)","(X)"
"        High school graduate or higher","4,472","±398","95.8%","±1.6","1,910","±274","95.6%","±2.6","2,562","±256","95.9%","±2.2"
"        Bachelor's degree or higher","1,997","±290","42.8%","±4.8","987","±187","49.4%","±8.0","1,010","±184","37.8%","±5.8"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","13,261","±814","(X)","(X)","6,002","±468","(X)","(X)","7,259","±572","(X)","(X)"
"        High school graduate or higher","12,848","±831","96.9%","±1.0","5,751","±464","95.8%","±1.6","7,097","±578","97.8%","±0.9"
"        Bachelor's degree or higher","7,568","±624","57.1%","±3.0","3,447","±351","57.4%","±4.4","4,121","±443","56.8%","±4.2"
"    White alone, not Hispanic or Latino","13,031","±831","(X)","(X)","5,918","±474","(X)","(X)","7,113","±574","(X)","(X)"
"        High school graduate or higher","12,685","±829","97.3%","±1.0","5,712","±462","96.5%","±1.7","6,973","±575","98.0%","±0.8"
"        Bachelor's degree or higher","7,495","±615","57.5%","±2.9","3,427","±348","57.9%","±4.4","4,068","±432","57.2%","±4.1"
"    Black alone","1,062","±262","(X)","(X)","453","±185","(X)","(X)","609","±181","(X)","(X)"
"        High school graduate or higher","960","±263","90.4%","±8.1","444","±185","98.0%","±3.2","516","±157","84.7%","±12.3"
"        Bachelor's degree or higher","413","±202","38.9%","±14.4","174","±137","38.4%","±22.9","239","±145","39.2%","±16.7"
"    American Indian or Alaska Native alone","6","±9","(X)","(X)","0","±24","(X)","(X)","6","±9","(X)","(X)"
"        High school graduate or higher","6","±9","100.0%","±100.0","0","±24","-","**","6","±9","100.0%","±100.0"
"        Bachelor's degree or higher","1","±2","16.7%","±50.4","0","±24","-","**","1","±2","16.7%","±50.4"
"    Asian alone","926","±280","(X)","(X)","464","±160","(X)","(X)","462","±150","(X)","(X)"
"        High school graduate or higher","842","±277","90.9%","±9.1","448","±165","96.6%","±5.8","394","±144","85.3%","±14.2"
"        Bachelor's degree or higher","749","±266","80.9%","±11.5","394","±157","84.9%","±13.1","355","±141","76.8%","±15.5"
"    Native Hawaiian and Other Pacific Islander alone","0","±24","(X)","(X)","0","±24","(X)","(X)","0","±24","(X)","(X)"
"        High school graduate or higher","0","±24","-","**","0","±24","-","**","0","±24","-","**"
"        Bachelor's degree or higher","0","±24","-","**","0","±24","-","**","0","±24","-","**"
"    Some other race alone","146","±109","(X)","(X)","70","±59","(X)","(X)","76","±60","(X)","(X)"
"        High school graduate or higher","146","±109","100.0%","±22.4","70","±59","100.0%","±38.1","76","±60","100.0%","±36.4"
"        Bachelor's degree or higher","89","±77","61.0%","±25.9","53","±51","75.7%","±36.2","36","±32","47.4%","±37.2"
"    Two or more races","792","±298","(X)","(X)","488","±269","(X)","(X)","304","±128","(X)","(X)"
"        High school graduate or higher","765","±295","96.6%","±3.3","469","±267","96.1%","±4.9","296","±126","97.4%","±3.8"
"        Bachelor's degree or higher","444","±179","56.1%","±8.9","265","±155","54.3%","±13.9","179","±73","58.9%","±17.0"
"    Hispanic or Latino Origin","572","±204","(X)","(X)","229","±121","(X)","(X)","343","±149","(X)","(X)"
"        High school graduate or higher","505","±186","88.3%","±13.8","184","±108","80.3%","±21.3","321","±145","93.6%","±10.2"
"        Bachelor's degree or higher","266","±121","46.5%","±14.5","112","±81","48.9%","±23.5","154","±68","44.9%","±18.1"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","10.4%","±9.1","(X)","(X)","1.3%","±2.5","(X)","(X)","18.2%","±16.5"
"    High school graduate (includes equivalency)","(X)","(X)","16.8%","±5.9","(X)","(X)","6.7%","±4.7","(X)","(X)","25.3%","±10.2"
"    Some college or associate's degree","(X)","(X)","6.3%","±2.7","(X)","(X)","3.5%","±2.6","(X)","(X)","8.7%","±4.1"
"    Bachelor's degree or higher","(X)","(X)","3.0%","±1.3","(X)","(X)","3.0%","±2.0","(X)","(X)","3.0%","±1.6"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","61,756","±3,782","(X)","(X)","70,862","±7,164","(X)","(X)","52,238","±7,696","(X)","(X)"
"        Less than high school graduate","44,609","±34,876","(X)","(X)","61,190","±14,762","(X)","(X)","27,250","±7,610","(X)","(X)"
"        High school graduate (includes equivalency)","35,132","±6,086","(X)","(X)","35,640","±6,451","(X)","(X)","33,438","±26,874","(X)","(X)"
