"Label (Grouping)","ZCTA5 40047!!Total!!Estimate","ZCTA5 40047!!Total!!Margin of Error","ZCTA5 40047!!Percent!!Estimate","ZCTA5 40047!!Percent!!Margin of Error","ZCTA5 40047!!Male!!Estimate","ZCTA5 40047!!Male!!Margin of Error","ZCTA5 40047!!Percent Male!!Estimate","ZCTA5 40047!!Percent Male!!Margin of Error","ZCTA5 40047!!Female!!Estimate","ZCTA5 40047!!Female!!Margin of Error","ZCTA5 40047!!Percent Female!!Estimate","ZCTA5 40047!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","1,700","±298","(X)","(X)","983","±191","(X)","(X)","717","±178","(X)","(X)"
"        Less than high school graduate","339","±145","19.9%","±7.3","283","±135","28.8%","±11.1","56","±49","7.8%","±6.6"
"        High school graduate (includes equivalency)","546","±159","32.1%","±7.6","360","±129","36.6%","±10.3","186","±78","25.9%","±11.5"
"        Some college or associate's degree","634","±169","37.3%","±9.1","286","±100","29.1%","±10.2","348","±139","48.5%","±15.0"
"        Bachelor's degree or higher","181","±115","10.6%","±6.2","54","±40","5.5%","±4.2","127","±111","17.7%","±14.1"
"    Population 25 years and over","15,793","±617","(X)","(X)","7,540","±369","(X)","(X)","8,253","±394","(X)","(X)"
"        Less than 9th grade","253","±110","1.6%","±0.7","138","±77","1.8%","±1.0","115","±65","1.4%","±0.8"
"        9th to 12th grade, no diploma","851","±208","5.4%","±1.3","345","±148","4.6%","±2.0","506","±174","6.1%","±2.1"
"        High school graduate (includes equivalency)","5,029","±662","31.8%","±3.6","2,471","±380","32.8%","±4.4","2,558","±387","31.0%","±4.2"
"        Some college, no degree","3,936","±389","24.9%","±2.5","2,044","±302","27.1%","±3.8","1,892","±233","22.9%","±2.9"
"        Associate's degree","1,813","±300","11.5%","±1.9","922","±215","12.2%","±2.8","891","±198","10.8%","±2.3"
"        Bachelor's degree","2,409","±379","15.3%","±2.4","1,034","±237","13.7%","±3.0","1,375","±281","16.7%","±3.5"
"        Graduate or professional degree","1,502","±292","9.5%","±1.8","586","±191","7.8%","±2.6","916","±194","11.1%","±2.2"
"        High school graduate or higher","14,689","±645","93.0%","±1.4","7,057","±388","93.6%","±2.2","7,632","±397","92.5%","±2.1"
"        Bachelor's degree or higher","3,911","±484","24.8%","±2.9","1,620","±297","21.5%","±3.9","2,291","±289","27.8%","±3.4"
"    Population 25 to 34 years","2,871","±430","(X)","(X)","1,492","±242","(X)","(X)","1,379","±278","(X)","(X)"
"        High school graduate or higher","2,758","±431","96.1%","±2.4","1,385","±240","92.8%","±4.5","1,373","±277","99.6%","±0.9"
"        Bachelor's degree or higher","886","±242","30.9%","±7.1","317","±121","21.2%","±7.5","569","±179","41.3%","±11.2"
"    Population 35 to 44 years","3,336","±372","(X)","(X)","1,612","±196","(X)","(X)","1,724","±230","(X)","(X)"
"        High school graduate or higher","3,214","±358","96.3%","±3.1","1,597","±197","99.1%","±1.1","1,617","±231","93.8%","±5.9"
"        Bachelor's degree or higher","1,085","±300","32.5%","±7.6","448","±182","27.8%","±10.4","637","±189","36.9%","±9.2"
"    Population 45 to 64 years","6,013","±518","(X)","(X)","2,944","±294","(X)","(X)","3,069","±279","(X)","(X)"
"        High school graduate or higher","5,745","±525","95.5%","±1.8","2,831","±292","96.2%","±2.3","2,914","±286","94.9%","±2.3"
"        Bachelor's degree or higher","1,441","±249","24.0%","±3.7","671","±167","22.8%","±5.4","770","±162","25.1%","±4.8"
"    Population 65 years and over","3,573","±304","(X)","(X)","1,492","±187","(X)","(X)","2,081","±197","(X)","(X)"
"        High school graduate or higher","2,972","±292","83.2%","±4.3","1,244","±176","83.4%","±7.2","1,728","±185","83.0%","±4.9"
"        Bachelor's degree or higher","499","±154","14.0%","±4.2","184","±85","12.3%","±5.4","315","±114","15.1%","±5.2"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","15,005","±604","(X)","(X)","7,155","±366","(X)","(X)","7,850","±389","(X)","(X)"
"        High school graduate or higher","14,026","±632","93.5%","±1.5","6,719","±390","93.9%","±2.1","7,307","±389","93.1%","±2.3"
"        Bachelor's degree or higher","3,632","±489","24.2%","±3.1","1,484","±293","20.7%","±4.0","2,148","±302","27.4%","±3.7"
"    White alone, not Hispanic or Latino","14,806","±622","(X)","(X)","7,078","±374","(X)","(X)","7,728","±390","(X)","(X)"
"        High school graduate or higher","13,862","±643","93.6%","±1.5","6,670","±398","94.2%","±2.1","7,192","±390","93.1%","±2.3"
"        Bachelor's degree or higher","3,616","±487","24.4%","±3.0","1,484","±293","21.0%","±4.0","2,132","±299","27.6%","±3.6"
"    Black alone","27","±43","(X)","(X)","27","±43","(X)","(X)","0","±24","(X)","(X)"
"        High school graduate or higher","27","±43","100.0%","±61.3","27","±43","100.0%","±61.3","0","±24","-","**"
"        Bachelor's degree or higher","27","±43","100.0%","±61.3","27","±43","100.0%","±61.3","0","±24","-","**"
"    American Indian or Alaska Native alone","0","±24","(X)","(X)","0","±24","(X)","(X)","0","±24","(X)","(X)"
"        High school graduate or higher","0","±24","-","**","0","±24","-","**","0","±24","-","**"
"        Bachelor's degree or higher","0","±24","-","**","0","±24","-","**","0","±24","-","**"
"    Asian alone","83","±75","(X)","(X)","8","±15","(X)","(X)","75","±74","(X)","(X)"
"        High school graduate or higher","82","±75","98.8%","±3.7","8","±15","100.0%","±100.0","74","±74","98.7%","±4.1"
"        Bachelor's degree or higher","49","±69","59.0%","±46.2","0","±24","0.0%","±100.0","49","±69","65.3%","±48.0"
"    Native Hawaiian and Other Pacific Islander alone","0","±24","(X)","(X)","0","±24","(X)","(X)","0","±24","(X)","(X)"
"        High school graduate or higher","0","±24","-","**","0","±24","-","**","0","±24","-","**"
"        Bachelor's degree or higher","0","±24","-","**","0","±24","-","**","0","±24","-","**"
"    Some other race alone","133","±127","(X)","(X)","45","±43","(X)","(X)","88","±91","(X)","(X)"
"        High school graduate or higher","103","±96","77.4%","±15.8","45","±43","100.0%","±47.5","58","±58","65.9%","±19.6"
"        Bachelor's degree or higher","103","±96","77.4%","±15.8","45","±43","100.0%","±47.5","58","±58","65.9%","±19.6"
"    Two or more races","545","±205","(X)","(X)","305","±135","(X)","(X)","240","±97","(X)","(X)"
"        High school graduate or higher","451","±167","82.8%","±10.8","258","±118","84.6%","±14.0","193","±92","80.4%","±22.2"
"        Bachelor's degree or higher","100","±59","18.3%","±11.3","64","±50","21.0%","±15.7","36","±39","15.0%","±15.7"
"    Hispanic or Latino Origin","416","±211","(X)","(X)","165","±99","(X)","(X)","251","±133","(X)","(X)"
"        High school graduate or higher","316","±169","76.0%","±12.4","103","±79","62.4%","±25.7","213","±113","84.9%","±12.8"
"        Bachelor's degree or higher","92","±88","22.1%","±17.5","33","±38","20.0%","±20.0","59","±58","23.5%","±19.1"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","10.0%","±4.7","(X)","(X)","10.3%","±8.4","(X)","(X)","9.8%","±6.6"
"    High school graduate (includes equivalency)","(X)","(X)","6.7%","±3.2","(X)","(X)","4.2%","±3.0","(X)","(X)","9.0%","±4.6"
"    Some college or associate's degree","(X)","(X)","4.4%","±2.1","(X)","(X)","3.8%","±2.7","(X)","(X)","5.0%","±2.9"
"    Bachelor's degree or higher","(X)","(X)","0.2%","±0.4","(X)","(X)","0.6%","±0.9","(X)","(X)","0.0%","±1.6"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","56,428","±3,881","(X)","(X)","68,768","±5,610","(X)","(X)","45,931","±2,999","(X)","(X)"
"        Less than high school graduate","33,650","±16,167","(X)","(X)","-","**","(X)","(X)","32,344","±20,555","(X)","(X)"
