"Label (Grouping)","ZCTA5 40229!!Total!!Estimate","ZCTA5 40229!!Total!!Margin of Error","ZCTA5 40229!!Percent!!Estimate","ZCTA5 40229!!Percent!!Margin of Error","ZCTA5 40229!!Male!!Estimate","ZCTA5 40229!!Male!!Margin of Error","ZCTA5 40229!!Percent Male!!Estimate","ZCTA5 40229!!Percent Male!!Margin of Error","ZCTA5 40229!!Female!!Estimate","ZCTA5 40229!!Female!!Margin of Error","ZCTA5 40229!!Percent Female!!Estimate","ZCTA5 40229!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","2,675","±434","(X)","(X)","1,429","±310","(X)","(X)","1,246","±271","(X)","(X)"
"        Less than high school graduate","245","±122","9.2%","±4.2","191","±96","13.4%","±6.9","54","±72","4.3%","±5.4"
"        High school graduate (includes equivalency)","1,312","±303","49.0%","±8.2","701","±213","49.1%","±10.5","611","±179","49.0%","±10.3"
"        Some college or associate's degree","837","±230","31.3%","±7.8","342","±132","23.9%","±8.4","495","±168","39.7%","±11.3"
"        Bachelor's degree or higher","281","±154","10.5%","±5.1","195","±136","13.6%","±8.2","86","±66","6.9%","±5.1"
"    Population 25 years and over","27,991","±1,612","(X)","(X)","14,018","±953","(X)","(X)","13,973","±887","(X)","(X)"
"        Less than 9th grade","782","±264","2.8%","±0.9","392","±208","2.8%","±1.5","390","±136","2.8%","±1.0"
"        9th to 12th grade, no diploma","2,391","±579","8.5%","±2.0","1,411","±391","10.1%","±2.8","980","±289","7.0%","±2.0"
"        High school graduate (includes equivalency)","9,608","±1,081","34.3%","±2.9","5,105","±675","36.4%","±3.8","4,503","±649","32.2%","±3.8"
"        Some college, no degree","5,712","±734","20.4%","±2.2","2,753","±516","19.6%","±3.2","2,959","±403","21.2%","±2.6"
"        Associate's degree","2,810","±409","10.0%","±1.5","1,200","±245","8.6%","±1.8","1,610","±306","11.5%","±2.2"
"        Bachelor's degree","4,485","±684","16.0%","±2.4","2,171","±530","15.5%","±3.6","2,314","±363","16.6%","±2.7"
"        Graduate or professional degree","2,203","±522","7.9%","±1.8","986","±226","7.0%","±1.7","1,217","±426","8.7%","±2.9"
"        High school graduate or higher","24,818","±1,574","88.7%","±2.1","12,215","±958","87.1%","±3.1","12,603","±884","90.2%","±2.2"
"        Bachelor's degree or higher","6,688","±806","23.9%","±2.7","3,157","±555","22.5%","±3.8","3,531","±514","25.3%","±3.3"
"    Population 25 to 34 years","7,082","±925","(X)","(X)","3,490","±582","(X)","(X)","3,592","±612","(X)","(X)"
"        High school graduate or higher","6,389","±902","90.2%","±4.1","3,053","±585","87.5%","±6.2","3,336","±596","92.9%","±4.6"
"        Bachelor's degree or higher","2,544","±589","35.9%","±7.3","1,017","±237","29.1%","±6.6","1,527","±481","42.5%","±9.7"
"    Population 35 to 44 years","5,981","±912","(X)","(X)","3,470","±613","(X)","(X)","2,511","±460","(X)","(X)"
"        High school graduate or higher","5,328","±873","89.1%","±3.8","2,959","±582","85.3%","±6.2","2,369","±439","94.3%","±3.6"
"        Bachelor's degree or higher","1,475","±343","24.7%","±5.5","713","±224","20.5%","±6.2","762","±208","30.3%","±8.0"
"    Population 45 to 64 years","9,722","±828","(X)","(X)","4,703","±489","(X)","(X)","5,019","±450","(X)","(X)"
"        High school graduate or higher","8,675","±890","89.2%","±3.2","4,229","±508","89.9%","±3.9","4,446","±477","88.6%","±3.8"
"        Bachelor's degree or higher","1,985","±455","20.4%","±4.1","979","±393","20.8%","±7.4","1,006","±214","20.0%","±4.3"
"    Population 65 years and over","5,206","±640","(X)","(X)","2,355","±379","(X)","(X)","2,851","±410","(X)","(X)"
"        High school graduate or higher","4,426","±605","85.0%","±3.2","1,974","±375","83.8%","±6.0","2,452","±392","86.0%","±4.4"
"        Bachelor's degree or higher","684","±214","13.1%","±3.7","448","±176","19.0%","±6.7","236","±118","8.3%","±3.8"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","21,817","±1,581","(X)","(X)","10,935","±932","(X)","(X)","10,882","±807","(X)","(X)"
