"Label (Grouping)","ZCTA5 40243!!Total!!Estimate","ZCTA5 40243!!Total!!Margin of Error","ZCTA5 40243!!Percent!!Estimate","ZCTA5 40243!!Percent!!Margin of Error","ZCTA5 40243!!Male!!Estimate","ZCTA5 40243!!Male!!Margin of Error","ZCTA5 40243!!Percent Male!!Estimate","ZCTA5 40243!!Percent Male!!Margin of Error","ZCTA5 40243!!Female!!Estimate","ZCTA5 40243!!Female!!Margin of Error","ZCTA5 40243!!Percent Female!!Estimate","ZCTA5 40243!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","796","±221","(X)","(X)","347","±143","(X)","(X)","449","±184","(X)","(X)"
"        Less than high school graduate","115","±85","14.4%","±10.5","115","±85","33.1%","±17.7","0","±20","0.0%","±8.0"
"        High school graduate (includes equivalency)","229","±101","28.8%","±12.7","113","±71","32.6%","±16.0","116","±77","25.8%","±16.7"
"        Some college or associate's degree","307","±168","38.6%","±14.9","52","±34","15.0%","±10.6","255","±166","56.8%","±20.8"
"        Bachelor's degree or higher","145","±81","18.2%","±9.3","67","±55","19.3%","±14.8","78","±49","17.4%","±11.5"
"    Population 25 years and over","9,022","±518","(X)","(X)","4,074","±359","(X)","(X)","4,948","±355","(X)","(X)"
"        Less than 9th grade","63","±59","0.7%","±0.6","22","±28","0.5%","±0.7","41","±52","0.8%","±1.0"
"        9th to 12th grade, no diploma","238","±104","2.6%","±1.2","126","±100","3.1%","±2.4","112","±54","2.3%","±1.1"
"        High school graduate (includes equivalency)","1,464","±275","16.2%","±3.0","599","±179","14.7%","±4.2","865","±191","17.5%","±3.9"
"        Some college, no degree","1,810","±400","20.1%","±4.2","708","±178","17.4%","±4.5","1,102","±305","22.3%","±5.3"
"        Associate's degree","802","±211","8.9%","±2.3","302","±122","7.4%","±2.8","500","±178","10.1%","±3.7"
"        Bachelor's degree","2,972","±360","32.9%","±3.6","1,505","±271","36.9%","±5.7","1,467","±222","29.6%","±4.0"
"        Graduate or professional degree","1,673","±297","18.5%","±3.2","812","±194","19.9%","±4.5","861","±194","17.4%","±3.9"
"        High school graduate or higher","8,721","±508","96.7%","±1.3","3,926","±334","96.4%","±2.3","4,795","±359","96.9%","±1.5"
"        Bachelor's degree or higher","4,645","±427","51.5%","±3.9","2,317","±279","56.9%","±4.8","2,328","±269","47.0%","±4.7"
"    Population 25 to 34 years","1,558","±302","(X)","(X)","681","±160","(X)","(X)","877","±212","(X)","(X)"
"        High school graduate or higher","1,558","±302","100.0%","±2.4","681","±160","100.0%","±5.4","877","±212","100.0%","±4.2"
"        Bachelor's degree or higher","1,093","±216","70.2%","±8.4","488","±141","71.7%","±10.7","605","±143","69.0%","±12.4"
"    Population 35 to 44 years","1,116","±278","(X)","(X)","578","±178","(X)","(X)","538","±163","(X)","(X)"
"        High school graduate or higher","1,107","±275","99.2%","±1.7","578","±178","100.0%","±6.3","529","±159","98.3%","±3.6"
"        Bachelor's degree or higher","700","±156","62.7%","±12.2","368","±113","63.7%","±15.9","332","±106","61.7%","±15.2"
"    Population 45 to 64 years","3,270","±412","(X)","(X)","1,702","±244","(X)","(X)","1,568","±217","(X)","(X)"
"        High school graduate or higher","3,204","±403","98.0%","±1.8","1,672","±238","98.2%","±2.8","1,532","±215","97.7%","±2.0"
"        Bachelor's degree or higher","1,725","±331","52.8%","±7.0","883","±226","51.9%","±9.2","842","±161","53.7%","±9.3"
"    Population 65 years and over","3,078","±463","(X)","(X)","1,113","±231","(X)","(X)","1,965","±324","(X)","(X)"
"        High school graduate or higher","2,852","±464","92.7%","±3.7","995","±221","89.4%","±7.8","1,857","±326","94.5%","±3.7"
"        Bachelor's degree or higher","1,127","±275","36.6%","±6.1","578","±172","51.9%","±9.6","549","±187","27.9%","±6.9"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","7,658","±539","(X)","(X)","3,568","±335","(X)","(X)","4,090","±360","(X)","(X)"
"        High school graduate or higher","7,414","±536","96.8%","±1.5","3,460","±316","97.0%","±2.5","3,954","±361","96.7%","±1.8"
"        Bachelor's degree or higher","4,082","±413","53.3%","±4.2","2,106","±261","59.0%","±5.1","1,976","±276","48.3%","±5.4"
"    White alone, not Hispanic or Latino","7,621","±532","(X)","(X)","3,544","±329","(X)","(X)","4,077","±357","(X)","(X)"
"        High school graduate or higher","7,377","±530","96.8%","±1.5","3,436","±310","97.0%","±2.5","3,941","±359","96.7%","±1.8"
